ID,latitude,longitude,NAME,Review_num,Rating,Categories,Price
_n0fEUZdbkLOimHz_IXkiQ,34.04819,-118.25829,JOEY DTLA,3035,4.3,"Sushi Bars, Steakhouses, Wine Bars",
KtqvTE5p8TmFCIrBOIQJsg,34.0472832,-118.2348222,Baroo,66,4.8,"Korean, Bars",$$$$
LNb-ElJwKIXS6Lx5xdRB1Q,34.072969,-118.374972,Toca Madera - Los Angeles,3257,3.8,"Cocktail Bars, Mexican, Steakhouses",$$$
-5TFq3V--bffJGW000YuGQ,34.01741823,-118.2784318,Holbox,1145,4.8,"Latin American, Seafood, Mexican",$$
jQyPDZRaSWyru3ToNM6VEQ,34.08111088,-118.2704601,Pijja Palace,645,4.1,"Sports Bars, American, Indian",$$$
jwCo4mgxtxf0hlyz6fNlzQ,34.08172,-118.38582,Soulmate,505,4,"Cocktail Bars, Seafood, Italian",$$$
RpljDiS3TghWGL4ZezUxGw,34.06153666,-118.3037314,Seoul Salon Restaurant & Bar,245,4.4,"Korean, Cocktail Bars, Pubs",$$
JxoefRA7EHdhB8HkCVrlMA,34.08217,-118.30929,Abuelita's Birria & Mexican Food,108,4.1,Mexican,
_S7e8_ckHrHcJpG0qO0AjQ,34.076418,-118.349103,PZK BBQ,249,4.7,"Barbeque, Korean",
13HnJPfmKw_Uu-sbPiF1wQ,34.032278,-118.364408,Farmhouse Kitchen Thai Cuisine,431,4.4,"Wine Bars, Thai, Cocktail Bars",
wqYaVXayRRq2rLsOA_eeVw,34.0574367,-118.2858811,Calic Bagel,230,4.5,"Bagels, Breakfast & Brunch, Coffee & Tea",
_DiPHeKsR9Pzk-lrAiwv-Q,34.09044,-118.36967,Pura Vita,946,4.6,"Italian, Vegan, Wine Bars",$$
64BprBYS6h9yliVX_rXlxg,34.04645516,-118.2571682,Joyce,243,4.4,"Southern, New American, Seafood",
#NAME?,34.06151276,-118.3051741,Cooking Mom,36,4.8,"Korean, Specialty Food, Soup",$$
HdUJltMQkcJAeQPk8kVuWw,34.06205322,-118.2976354,Bacchus Tables,84,4.8,"Korean, Pubs, Asian Fusion",$$$
TzIJzamxdVGc3zReKbLGaA,34.083628,-118.330168,Providence,2966,4.4,"New American, Seafood",$$$$
QHqdoF0ZvI-RXFIJwE5vLw,34.09038934,-118.3259913,The Kluckin Chicken,524,4.5,Chicken Shop,$$
GbAZbcCR969hfa4kCQqRcw,34.09087,-118.3323,Eat This Cafe,2239,4.2,"Breakfast & Brunch, Sandwiches, Cocktail Bars",$$
X9hrLXF2lqbiA58jExIO2Q,34.06020287,-118.2910965,LEE GA,235,4.5,"Korean, Soup, Noodles",$$
IxuAHGu-eQ4fZJZTdzGTYQ,34.04798375,-118.3264731,Gus's World Famous Fried Chicken,1747,4.2,"Southern, Chicken Shop, Comfort Food",$$
D6_mb0MZdAVvfmwYOFHK-A,34.088527,-118.361878,Ysabel,1693,3.8,"New American, Cocktail Bars, Wine Bars",$$$
SHQDM19o0G9fzSxUZRhUPA,34.075386,-118.323919,La Bettola Di Terroni,46,3,Italian,$$$
7qZBxWisbeVI34gIeNpP1A,34.10114,-118.318459,Palms Thai Restaurant,3105,3.9,"Seafood, Thai, Barbeque",$$
7By_rryuWeuhx9IDFB1rTw,34.07619,-118.25656,Donna's,199,4.3,Italian,$$$
sSV61EagITx8Nnp2oa9-Mw,34.052923,-118.30396,hibi.,108,4.7,"Japanese, Korean",$$$$
CyIhScKPMj7eI1m1ughgZA,34.0308988,-118.3788894,Kreung Kitchen,19,5,"Cambodian, Pop-Up Restaurants, Barbeque",
71W-QN3-_DHnzUkAc7EG6Q,34.09942,-118.32934,Stout Burgers & Beers,2361,4,"Burgers, Gastropubs, American",$$
KmTL0xYVt4_gXcTKLjuxBw,34.067658,-118.343712,Kalamaki Greek LA,38,4.5,Greek,
zuf7xUNAlfVWtymHMcS6cQ,34.069315,-118.307092,LA Wangbal,58,4.5,"Korean, Soup",
#NAME?,34.084159,-118.338194,Petit Trois,1202,4,French,$$$
DrToq9357afdpOyO5w0Y5w,34.064009,-118.3007621,Yup Dduk LA,2457,4.5,"Korean, Chicken Shop",$$
IO94U9tWIVuw93g2ahEyEQ,34.1023817,-118.2916178,Loupiotte Kitchen,370,4.5,"French, Wine Bars, Breakfast & Brunch",$$
MlmcOkwaNnxl3Zuk6HsPCQ,34.05758408,-118.3068679,Slurpin' Ramen Bar - LA,5735,4.4,"Ramen, Noodles, Desserts",$$
IdZlpB9Z9vCAXa_6AJHLEQ,34.08391,-118.35962,Ghost Sando Shop,356,4.7,"Sandwiches, Delis",$$
OjUQ0wmRdctqjfz-lErGBQ,34.063692,-118.364864,UOVO | Mid-Wilshire,443,4.3,"Italian, Noodles",$$$
KF0iy1GeuDYm_1EyyVD6ig,34.099896,-118.33034,TAO Asian Bistro,1768,4,"Asian Fusion, Lounges",$$$
kr9RZATtNwJznY9TaMexUA,34.101795,-118.3323928,Te'Kila,1236,3.9,"Bars, Mexican",$$
y2eWXL2qbTW8tXyrEsfEqQ,34.07172,-118.36485,Bacari W 3rd,1234,4.4,"New American, Breakfast & Brunch, Italian",$$
CQ0WCuH_XJXZkkvZXo8YfA,34.05282741,-118.2637628,The Liberties of Dublin,109,4.8,"Irish Pub, New American, Cocktail Bars",
m8REJEScsU1T2OlMH_mreQ,34.09564,-118.22806,Barra Santos,70,4.4,Portuguese,$$$
zIN25_41Avj-wmcv8KTx-A,34.057488,-118.303298,Pigya,357,4.4,"Korean, Barbeque",
gLn9MKqseb1leWZOWqD54g,34.06219101,-118.3207779,Mocha City,40,4.6,"Breakfast & Brunch, Cafes",$
#NAME?,34.07223539,-118.2746301,Tita Lina’s,66,4.9,Filipino,$$
AEv5LTvg1FbGTsnPv486_Q,34.0676057,-118.3976687,Spago Beverly Hills,2505,4.1,"New American, Bars, Italian",$$$$
DzHXv9A_L1ppO8GWLhTT3A,34.08376442,-118.2737809,Azizam,10,5,"Persian/Iranian, Beer, Wine & Spirits, Caterers",
_a1mVQvn7Ucp7aKm7XaAig,34.040901,-118.259679,Habachihana Grill,440,3.9,"Steakhouses, Seafood, Teppanyaki",$$
3Pd3knaB6HW1-0TXXVyiuA,34.0825699,-118.37588,Rosaline,1154,3.9,"Peruvian, Cocktail Bars",$$$
qA9Dqezi-kqbIBtM3c07Ew,34.04608,-118.23489,Manuela,1870,4.2,"New American, Breakfast & Brunch, Bars",$$
6o9FPvkaCOhT1YuVfyCzPg,34.04624931,-118.261687,Baar Baar,234,4.4,Indian,
F2W1R7yIvSOqD1xH_F1cZA,34.08292,-118.27289,Wood,1108,3.9,"Pizza, Italian, Wine Bars",$$$
BQso2uqL2dqJJNBNzqWMJA,34.09114,-118.27948,Santō,108,4.5,"Japanese, Sushi Bars",
qCrSlf_TSVxITOYIBXGdJQ,34.092663,-118.344416,Cannabis Cafe,851,3.7,"Cannabis Dispensaries, Cafes",
eCfyO7laigVXu5VnaPcdmQ,34.06215,-118.30098,Openaire,1639,3.7,"New American, Breakfast & Brunch",$$$
gjPZZzmkVANey4vGFYmC7A,34.0471743,-118.2561652,Little Sister,1931,3.9,Vietnamese,$$
j31RdZbL5R647hA17RQY_Q,34.04543955,-118.2359292,Taberu,228,4.1,"Ramen, Izakaya, Sushi Bars",
TJU7R25ASoWvXgPUUiUZFA,34.0910214,-118.3572208,Irie,30,4.7,"Cannabis Dispensaries, Cannabis Collective, Pizza",
U0-5DL9r3JJk6Vn7E2XK8A,34.095237,-118.295817,Found Oyster,364,4.4,Seafood,
ccRQxI1-Zw-fSrrLO4WxpA,28.566098,-81.372986,Maxtro's,25,4.8,"Comfort Food, Food Trucks",
s4bu_G4GYbKXZBaC7WwM7A,34.04225458,-118.2352966,Sampa,139,4.8,"Asian Fusion, Filipino, New American",
pa4CoCtGkDvovXXhtJRweg,34.06415,-118.399355,Chubby Curry,130,4.5,Japanese Curry,
kjJT0aclLYI291W0V1DKVg,34.04088199,-118.2622769,Pine & Crane DTLA,607,4.5,"Taiwanese, Coffee & Tea, Noodles",$$
AX-hRDB8zpIHKMix9VqB8g,34.057597,-118.2977468,H Cafe,1249,4.2,"Breakfast & Brunch, New American, Juice Bars & Smoothies",$$
HU8Rm8btkG_TQ8jLAdUB-A,34.10145544,-118.32619,RDEN Bar & Restaurant,88,4.5,"Sushi Bars, Cocktail Bars, New American",
bjbZOrwistgH718oi4TG7g,34.02835699,-118.387236,Prima Donna,54,4.3,"Bars, Pasta Shops, Pizza",
4Zx7Lw4U6F0sXrV4aiIyqQ,34.0690575,-118.226105,Majordomo,1432,4.2,"New American, Asian Fusion, Korean",$$$
