OID_,GEOID_CT2010,MEAN_ADI_NATRANK,MEDIAN_ADI_NATRANK,MEAN_ADI_STATERNK,MEDIAN_ADI_STATERNK,Shape_Length,Shape_Area,GEOID_CT2010_txt
1845,6037221302.000000000000000,25.000000000000000,25.000000000000000,6.500000000000000,6.500000000000000,0.032146436905304,0.000045119993897,06037221302
1846,6037221303.000000000000000,18.000000000000000,18.000000000000000,5.000000000000000,5.000000000000000,0.019954178748533,0.000022843459974,06037221303
1847,6037221304.000000000000000,15.000000000000000,15.000000000000000,5.000000000000000,5.000000000000000,0.019365373119287,0.000022187790428,06037221304
1848,6037221401.000000000000000,5.000000000000000,5.000000000000000,2.000000000000000,2.000000000000000,0.029357179697482,0.000052941780754,06037221401
1849,6037221402.000000000000000,10.000000000000000,10.000000000000000,4.000000000000000,4.000000000000000,0.041139302372115,0.000051968782657,06037221402
1850,6037221500.000000000000000,21.000000000000000,21.000000000000000,6.000000000000000,6.000000000000000,0.025950964777195,0.000037167356924,06037221500
1851,6037221601.000000000000000,25.500000000000000,25.500000000000000,6.500000000000000,6.500000000000000,0.025722749093940,0.000036110644208,06037221601
1852,6037221602.000000000000000,35.333333333333336,26.000000000000000,7.333333333333333,7.000000000000000,0.038423025285723,0.000051039205837,06037221602
1853,6037221710.000000000000000,23.500000000000000,23.500000000000000,6.500000000000000,6.500000000000000,0.024762213442773,0.000032018724638,06037221710
1854,6037221810.000000000000000,21.000000000000000,21.000000000000000,6.000000000000000,6.000000000000000,0.022909115531355,0.000029708932289,06037221810
1855,6037221820.000000000000000,28.000000000000000,28.000000000000000,7.000000000000000,7.000000000000000,0.017636639091348,0.000019939923193,06037221820
1856,6037221900.000000000000000,65.000000000000000,65.000000000000000,10.000000000000000,10.000000000000000,0.033262635141917,0.000039996446236,06037221900
1857,6037222001.000000000000000,18.500000000000000,18.500000000000000,5.500000000000000,5.500000000000000,0.028075376704521,0.000046299171031,06037222001
1858,6037222002.000000000000000,27.500000000000000,28.500000000000000,7.000000000000000,7.500000000000000,0.032878159614173,0.000064002216012,06037222002
1859,6037222100.000000000000000,22.000000000000000,22.000000000000000,6.000000000000000,6.000000000000000,0.033170819501418,0.000046751532312,06037222100
1860,6037222200.000000000000000,16.500000000000000,16.500000000000000,5.000000000000000,5.000000000000000,0.033310286225648,0.000047039728862,06037222200
1861,6037222500.000000000000000,23.666666666666668,21.000000000000000,6.666666666666667,6.000000000000000,0.032058933960665,0.000063686327018,06037222500
1862,6037222600.000000000000000,21.000000000000000,21.000000000000000,6.000000000000000,6.000000000000000,0.031983916979182,0.000063635049927,06037222600
1863,6037222700.000000000000000,18.000000000000000,18.000000000000000,5.000000000000000,5.000000000000000,0.041459819964133,0.000079785002240,06037222700
1864,6037224010.000000000000000,17.500000000000000,17.500000000000000,5.000000000000000,5.000000000000000,0.042865269332268,0.000081068118958,06037224010
1865,6037224020.000000000000000,61.000000000000000,61.000000000000000,9.500000000000000,9.500000000000000,0.045764594911046,0.000120299341795,06037224020
1866,6037224200.000000000000000,28.000000000000000,28.000000000000000,7.000000000000000,7.000000000000000,0.026197768849210,0.000035947077428,06037224200
1867,6037224310.000000000000000,11.000000000000000,11.000000000000000,4.000000000000000,4.000000000000000,0.019609998147621,0.000017651766735,06037224310
1868,6037224320.000000000000000,35.500000000000000,35.500000000000000,8.000000000000000,8.000000000000000,0.024838918419272,0.000028388491071,06037224320
1869,6037224410.000000000000000,20.000000000000000,20.000000000000000,5.500000000000000,5.500000000000000,0.031827120582347,0.000044249165846,06037224410
1870,6037224420.000000000000000,8.500000000000000,8.500000000000000,3.000000000000000,3.000000000000000,0.026533739747923,0.000035013503991,06037224420
1871,6037224600.000000000000000,32.000000000000000,32.000000000000000,7.500000000000000,7.500000000000000,0.034027847302515,0.000070174041890,06037224600
1872,6037224700.000000000000000,18.000000000000000,18.000000000000000,5.000000000000000,5.000000000000000,0.032327221600924,0.000062064976078,06037224700
1873,6037226001.000000000000000,26.500000000000000,26.500000000000000,7.000000000000000,7.000000000000000,0.059308220279631,0.000101005592221,06037226001
1874,6037226002.000000000000000,23.000000000000000,23.000000000000000,6.000000000000000,6.000000000000000,0.064943852838959,0.000250725005703,06037226002
1875,6037226410.000000000000000,28.500000000000000,28.500000000000000,7.500000000000000,7.500000000000000,0.021359746787615,0.000027573726301,06037226410
1876,6037226420.000000000000000,34.000000000000000,34.000000000000000,8.000000000000000,8.000000000000000,0.026678055392163,0.000041673150610,06037226420
1877,6037226700.000000000000000,29.250000000000000,30.000000000000000,7.250000000000000,7.000000000000000,0.037320816533529,0.000076397040780,06037226700
1878,6037227010.000000000000000,22.500000000000000,22.500000000000000,6.500000000000000,6.500000000000000,0.036961091873840,0.000056532710960,06037227010
1879,6037227020.000000000000000,30.000000000000000,30.000000000000000,7.500000000000000,7.500000000000000,0.027909869974031,0.000042956724438,06037227020
1880,6037228100.000000000000000,44.666666666666664,46.000000000000000,8.666666666666666,9.000000000000000,0.045423692379792,0.000097920261325,06037228100
1881,6037228210.000000000000000,33.000000000000000,33.000000000000000,7.500000000000000,7.500000000000000,0.027657459999286,0.000040115198938,06037228210
1882,6037228220.000000000000000,39.333333333333336,32.000000000000000,8.333333333333334,8.000000000000000,0.028017491544266,0.000035739351061,06037228220
1883,6037228310.000000000000000,36.750000000000000,37.000000000000000,8.250000000000000,8.000000000000000,0.034746223329664,0.000053319123744,06037228310
1884,6037228320.000000000000000,29.000000000000000,27.000000000000000,7.333333333333333,7.000000000000000,0.032764785083729,0.000032892719474,06037228320
1885,6037228410.000000000000000,32.333333333333336,33.000000000000000,7.666666666666667,8.000000000000000,0.021485350104163,0.000027104827677,06037228410
