OBJECTID,CT20,LABEL,Shape__Area,Shape__Length
250,127805,1278.05,900387.6796875,4865.35518271846
251,127806,1278.06,1000894.375,4968.58115911217
252,127910,1279.10,952197.91796875,3904.00594148675
253,127920,1279.20,950628.6015625,3899.89140006381
254,128101,1281.01,950732.4453125,3900.12677553945
255,128102,1281.02,950606.48046875,3900.10355807957
256,128210,1282.10,805645.48046875,3601.65912743358
257,128220,1282.20,813900.4609375,3703.63668577117
258,128302,1283.02,1009157.10546875,4585.62841145798
259,128303,1283.03,606389.57421875,3602.17225522295
260,128400,1284.00,2527914.24609375,8322.7373363794
261,128500,1285.00,1426087.6171875,4880.33339934549
262,128601,1286.01,998768.23828125,5099.71093392976
263,128602,1286.02,1661249.734375,5362.01590094671
264,128703,1287.03,1212115.15234375,4338.23664555591
265,128704,1287.04,1219556.12109375,4465.50455172202
266,128801,1288.01,720656.56640625,3490.80808929377
267,128802,1288.02,1422180.125,4875.4889635554
268,128910,1289.10,1957255.41796875,6412.94357801524
269,131021,1310.21,824599.55078125,3918.54642642499
270,131022,1310.22,739148.89453125,3711.20113582355
271,131023,1310.23,863301.3671875,3725.8812309014
272,131024,1310.24,1254241.31640625,4536.41640605878
273,131100,1311.00,1615275.84375,5236.03757218785
274,131200,1312.00,1654264.0859375,5347.69864428145
275,131300,1313.00,1638997.87109375,5316.33900024183
276,131400,1314.00,1623060.21875,5283.41222312965
277,131600,1316.00,3211794.1328125,7171.68799418127
278,131701,1317.01,966842.65625,3933.2474881447
279,131702,1317.02,1056890.484375,4116.09297250714
280,131801,1318.01,961940.3984375,3924.22495521558
281,131802,1318.02,966249.8046875,3932.25220585521
282,131900,1319.00,1932046.23828125,5875.75935831705
283,132001,1320.01,1419282.921875,4863.96923203994
284,132002,1320.02,2344816.8046875,7765.32806527971
285,132101,1321.01,1187540.69921875,4384.95993452276
286,132102,1321.02,2009767.52734375,6973.08094608562
287,132301,1323.01,924704.65625,4844.38509131315
288,132302,1323.02,948959.44921875,4863.72835109338
289,132501,1325.01,1032814.94140625,4061.41960997285
290,132502,1325.02,915446.44140625,4047.61482429545
291,132700,1327.00,1935971.984375,5785.96589328822
292,132900,1329.00,1749254.87109375,6708.69429034967
293,133000,1330.00,1468597.91015625,5227.33834343584
294,133101,1331.01,972467.9296875,4050.08025150575
295,133102,1331.02,1254324.046875,4451.38781286596
296,134001,1340.01,855151.8359375,4485.77583229637
297,134002,1340.02,1104341.23046875,5032.55710472927
298,134101,1341.01,1562425.5078125,5157.20962777239
299,134103,1341.03,1540138.796875,6434.4764676836
300,134104,1341.04,949875.19140625,3898.09498082163
301,134201,1342.01,2150202.7578125,6072.93465205451
302,134302,1343.02,1915851.97265625,5632.50265265174
303,134303,1343.03,2322927.53125,6358.64904484573
304,134304,1343.04,1495934.703125,5011.3535508481
